date,equal_weight,inverse_volatility,offline_fixture
2020-12-31,100.0,100.0,100.0
2021-01-04,98.84137839968585,98.83763929485917,98.83370650215011
2021-01-05,99.4945227478452,99.45319119586588,99.5468643107082
2021-01-06,100.29246502681744,100.21096042147423,100.53745345007019
2021-01-07,101.82317939210647,101.7036225955548,102.04675259691497
2021-01-08,102.3830781986846,102.28375788074558,102.4967089185251
2021-01-11,101.99702573592127,101.8675861927541,102.22774296782161
2021-01-12,102.28347022329808,102.0873640369705,102.63047627403623
2021-01-13,102.45539357975323,102.24693855219628,102.81709075609433
2021-01-14,102.48880559453795,102.20827628708388,103.0464276700971
2021-01-15,101.76329477944174,101.53240638293413,102.25271478708963
2021-01-19,102.6159054264437,102.36865784016138,103.1159016848846
2021-01-20,103.75176409644874,103.50660755429122,104.18804523055695
2021-01-21,103.8526043912489,103.57689201423318,104.32095505412951
2021-01-22,103.24696030609479,103.00654776554364,103.60984090715888
2021-01-25,103.51940012042141,103.30873093328798,103.82627609900187
2021-01-26,103.11340996940638,102.914393574936,103.44159094687527
2021-01-27,100.52457924012735,100.33555764369353,100.89043291377284
2021-01-28,101.45103474482235,101.25132809808382,101.77674456405562
2021-01-29,99.82719871516986,99.63051429936961,100.15978606079803
2021-02-01,101.34273284683493,101.12546313770466,101.64680005339362
2021-02-02,102.70562199683346,102.47696477642201,102.93268890821079
2021-02-03,102.56172631273381,102.30371822429706,102.91115111891061
2021-02-04,103.68273055665526,103.40252865325971,104.08570042970135
2021-02-05,104.24493613163474,103.96707882309003,104.6016610348177
2021-02-08,105.21394229414138,104.8960041110277,105.71015043236514
2021-02-09,105.19634796964712,104.88045212889327,105.69603274097315
2021-02-10,105.07271997587087,104.75281221231528,105.601307209392
2021-02-11,105.60051781480922,105.26009636087312,106.12991364907096
2021-02-12,106.10165886006837,105.735311442134,106.69303406338194
2021-02-16,105.78972622777607,105.39896394729249,106.4561600492583
2021-02-17,105.72350450923557,105.34645935376884,106.44103858048804
2021-02-18,105.37782961532574,105.02511626653889,106.06304125667464
2021-02-19,105.26963994548329,104.85170649890074,106.19090405693112
2021-02-22,103.97782565056933,103.58606154508614,105.10291618424527
2021-02-23,103.88736084321289,103.51087309732443,105.03703859121683
2021-02-24,105.11597601289304,104.68151855743668,106.52602409344254
2021-02-25,102.38523821849013,102.02920424567218,103.69755813652456
2021-02-26,102.12117558087647,101.73530255277132,103.40517480178335
2021-03-01,104.542329737223,104.11740903170963,105.86853657741997
2021-03-02,103.64058062092873,103.24085266415975,105.02168327878303
2021-03-03,101.90814050817167,101.51590113864016,103.60092014671066
2021-03-04,100.2056315108651,99.85094920400017,101.90502836731024
2021-03-05,102.27334806947351,101.91751344898815,104.12724786086972
2021-03-08,101.71860413349756,101.38759216029774,103.86304915223528
2021-03-09,103.46187098755343,103.0833864122414,105.36581046331581
2021-03-10,104.06273597687121,103.67634394163488,106.10243252673834
2021-03-11,105.301510992686,104.8693296115994,107.21802390027041
2021-03-12,105.46428743709272,105.02395151164615,107.58896969600244
2021-03-15,106.44075166940381,105.98820166829564,108.57604045055278
2021-03-16,106.28185392700279,105.85382533513945,108.35900706444059
2021-03-17,106.54603898234232,106.06187419224396,108.82287400935446
2021-03-18,104.80561229556997,104.36757614025149,107.16518527041357
2021-03-19,104.88640374173744,104.42555353702677,107.23278985743394
2021-03-22,105.83293616851834,105.3757496000697,108.10085050668833
2021-03-23,104.81932921246943,104.44137096358862,106.73046499986827
2021-03-24,103.80059042332,103.47486562515944,105.706990277051
2021-03-25,104.37485843914098,104.03609767905826,106.4461707786581
2021-03-26,106.30413173058857,105.95904958343654,108.40081664295548
2021-03-29,106.1116784875927,105.82044797280643,108.07396425351183
2021-03-30,105.90854025411664,105.56174348738823,108.037058116555
2021-03-31,106.37994862561098,106.01348873472016,108.35405453089449
2021-04-01,107.5525055305743,107.16523086028829,109.53107478482934
2021-04-05,108.93839692885513,108.53232439676142,110.9501248426714
