date,gross_return,transaction_cost,net_return,turnover,weight_VLUE,weight_MTUM,weight_QUAL,weight_USMV
2015-02-28,0.052550954225998314,2.28821461587653e-05,0.05252807207983955,0.007627382052921766,0.2515913320972276,0.25041499694575775,0.2518073619834755,0.24618630897353908
2015-03-31,-0.010776251773682466,7.464068552447356e-06,-0.010783715842234913,0.0024880228508157853,0.25034860039567897,0.25006264821296664,0.24875598857459208,0.25083276281676226
2015-04-30,-0.001953858022438304,1.8476501274976383e-05,-0.0019723345237132803,0.00615883375832546,0.2521568174363726,0.24788823786920428,0.25092259944279016,0.249032345251633
2015-05-31,0.017066186355607638,2.4436429659866782e-05,0.01704174992594777,0.008145476553288927,0.24805850470054772,0.2540727382766445,0.24954688847772155,0.2483218685450863
2015-06-30,-0.01519176213155582,1.788666617934967e-05,-0.015209648797735169,0.005962222059783223,0.2496574670836828,0.2529811110298916,0.24916946335396362,0.24819195853246198
2015-07-31,0.027526438492476046,3.551755899528478e-05,0.02749092093348076,0.011839186331761592,0.24408040683411922,0.25253214599268353,0.2503092178057862,0.2530782293674111
2015-08-31,-0.05431504384655872,1.4576963467252513e-05,-0.05432962081002597,0.004858987822417504,0.2490770728891703,0.24849343319962092,0.2500469901318048,0.2523825037794039
2015-09-30,-0.016685389621713398,2.1640221358277922e-05,-0.016707029843071677,0.007213407119425974,0.24695484374593255,0.24943845269435447,0.2509463551088133,0.2526603484508997
2015-10-31,0.0731465519629555,1.8702835677971624e-05,0.07312784912727753,0.006234278559323875,0.2499772803578004,0.2500022139436951,0.25311492533596686,0.24690558036253768
2015-11-30,0.00019010109116401885,1.404260700320345e-05,0.0001760584841608154,0.004680869001067817,0.24824313277094215,0.2512842449465028,0.2510561895540311,0.24941643272852393
2015-12-31,-0.008043128490666795,2.9920469490476333e-05,-0.008073048960157272,0.009973489830158777,0.24731375762810925,0.2516883001322601,0.2476994974568113,0.2532984447828192
2016-01-31,-0.04621230577358437,6.376977450259378e-05,-0.046276075548086965,0.02125659150086459,0.23937170424956775,0.2521347691897918,0.25001592543764684,0.2584776011229937
2016-02-29,0.005447057589378135,2.7172104866763026e-05,0.005419885484511372,0.009057368288921008,0.25315126952886363,0.24547131585553955,0.2501393154869787,0.2512380991286182
2016-03-31,0.05789883621730407,6.842549896121763e-06,0.05789199366740795,0.002280849965373921,0.2505284501109294,0.24885957501731304,0.25027686297489815,0.2503351118968594
2016-04-30,-0.0015996472106615256,1.3668341373556104e-05,-0.0016133155520350816,0.004556113791185368,0.2522780568955927,0.24882488608408904,0.24940842151921486,0.24948863550110342
