date,VLUE,MTUM,QUAL,USMV,SPY
2015-02-28,0.059250786695707935,0.054298175951031036,0.060160316547353876,0.036494537709899966,0.05620499361809972
2015-03-31,-0.00939687661349553,-0.0105283593734804,-0.015698674353995967,-0.007481096753758298,-0.015705665391914203
2015-04-30,0.006656555262848141,-0.010384402212098243,0.0017293292354312317,-0.0058169143759341235,0.009833956053442616
2015-05-31,0.009167669475442564,0.03363516390381305,0.01522280872377757,0.010239103319397813,0.01285595085408442
2015-06-30,-0.016541079082476928,-0.0034484713306048853,-0.01846343945502882,-0.022314058658112534,-0.020311938600017343
2015-07-31,0.0031962845602284684,0.037933826306896457,0.028797356375267702,0.04017828672751156,0.02258902086385106
2015-08-31,-0.057806236983909964,-0.060013994080793664,-0.054137292403616755,-0.04530265191791483,-0.060950245442831785
2015-09-30,-0.02866277616375079,-0.0188941003019526,-0.012963130401304368,-0.006221551619845833,-0.025515731441987044
2015-10-31,0.07304902594020213,0.073156055507126,0.08651763749861496,0.05986348890587889,0.08505968383033036
2015-11-30,-0.006838703754576514,0.005328057422637977,0.004415662438435053,-0.002144611741840552,0.003655157280429089
2015-12-31,-0.01870167480801299,-0.0013442448212046543,-0.01717112571322965,0.005044531379779782,-0.017282430840220964
2016-01-31,-0.08676085656302912,-0.038067839440636075,-0.04615154782777353,-0.01386897926289854,-0.04978660688658765
2016-02-29,0.01812079629124619,-0.012766351001819554,0.00600735497521554,0.010426430092870698,-0.0008261112443531671
2016-03-31,0.06013502324670861,0.05307301916939333,0.05907040829304977,0.05931689416006458,0.06726610030355373
2016-04-30,0.007498004022274074,-0.006292583803514162,-0.0039621758663354045,-0.0036418331950707206,0.003940971896711387
2016-05-31,0.01472262468838692,0.02450419268691828,0.010709851732670472,0.01576405049490126,0.017011583288556453
2016-06-30,-0.012055995379613327,0.02951194108792987,0.004839854153370515,0.04488516128072684,0.0034760095019621406
2016-07-31,0.04527022586483298,0.02683242541434172,0.03045481292825447,0.014715826972241608,0.03647137988632054
2016-08-31,0.012418367525108831,-0.014913854602920162,-0.0022058572541767685,-0.01962038886960582,0.0011973828690508004
2016-09-30,0.006510856141955124,0.004930933106021884,-0.0010216018153469397,-0.00647370938678915,5.776624760178706e-05
