date,gross_return,transaction_cost,net_return,turnover,weight_VLUE,weight_MTUM,weight_QUAL,weight_USMV
2015-02-28,0.052550954225998314,0.0,0.052550954225998314,0.003813691026460883,0.2515913320972276,0.25041499694575775,0.2518073619834755,0.24618630897353908
2015-03-31,-0.010776251773682466,0.0,-0.010776251773682466,0.0012440114254078927,0.25034860039567897,0.25006264821296664,0.24875598857459208,0.25083276281676226
2015-04-30,-0.001953858022438304,0.0,-0.001953858022438304,0.003079416879162772,0.2521568174363726,0.24788823786920425,0.2509225994427902,0.249032345251633
2015-05-31,0.017066186355607638,0.0,0.017066186355607638,0.004072738276644491,0.24805850470054772,0.2540727382766445,0.2495468884777215,0.2483218685450863
2015-06-30,-0.01519176213155582,0.0,-0.01519176213155582,0.0029811110298916116,0.2496574670836828,0.2529811110298916,0.24916946335396362,0.24819195853246198
2015-07-31,0.027526438492476046,0.0,0.027526438492476046,0.005919593165880782,0.24408040683411925,0.25253214599268353,0.2503092178057862,0.2530782293674111
2015-08-31,-0.05431504384655883,0.0,-0.05431504384655883,0.002429493911208766,0.2490770728891703,0.24849343319962094,0.25004699013180487,0.2523825037794039
2015-09-30,-0.016685389621713398,0.0,-0.016685389621713398,0.003606703559712987,0.24695484374593255,0.24943845269435447,0.2509463551088133,0.2526603484508997
2015-10-31,0.0731465519629555,0.0,0.0731465519629555,0.003117139279661965,0.24997728035780034,0.2500022139436951,0.25311492533596686,0.24690558036253768
2015-11-30,0.00019010109116401885,0.0,0.00019010109116401885,0.0023404345005338945,0.24824313277094218,0.2512842449465028,0.2510561895540311,0.24941643272852393
2015-12-31,-0.008043128490666795,0.0,-0.008043128490666795,0.0049867449150793886,0.24731375762810925,0.2516883001322601,0.2476994974568113,0.2532984447828192
2016-01-31,-0.04621230577358415,0.0,-0.04621230577358415,0.010628295750432212,0.23937170424956775,0.2521347691897917,0.2500159254376468,0.25847760112299367
2016-02-29,0.005447057589378135,0.0,0.005447057589378135,0.004528684144460504,0.25315126952886363,0.24547131585553955,0.2501393154869787,0.2512380991286182
2016-03-31,0.05789883621730407,0.0,0.05789883621730407,0.0011404249826869606,0.2505284501109294,0.24885957501731304,0.25027686297489815,0.2503351118968594
2016-04-30,-0.0015996472106615256,0.0,-0.0015996472106615256,0.002278056895592684,0.2522780568955927,0.24882488608408904,0.24940842151921486,0.24948863550110342
2016-05-31,0.016425179900719344,0.0,0.016425179900719344,0.00198711448367217,0.2495812394148631,0.2519871144836721,0.24859425753093622,0.24983738857052845
