strategy,transaction_cost,annualized_return,annualized_volatility,sharpe_zero_rf,max_drawdown,total_return,final_value_from_100,average_monthly_turnover,annualized_turnover
Benchmark SPY,0.0,0.13841399020345246,0.14960435659200141,0.9456791765776599,-0.23927178828328333,3.117283589861241,411.72835898612414,,
Multifactor,0.0,0.12023694541067997,0.14167849728353185,0.875870683618141,-0.23844640270814244,2.453819601735555,345.3819601735555,0.0062791150559097664,0.07534938067091719
Multifactor,0.001,0.12015303341293837,0.14167969173189002,0.8753314703968454,-0.23850772759557615,2.450996395694147,345.0996395694147,0.0062791150559097664,0.07534938067091719
Multifactor,0.003,0.11998522617440188,0.1416820838514805,0.8742530513423901,-0.2386303644943939,2.4453568344330496,344.53568344330495,0.0062791150559097664,0.07534938067091719
