date,simple_gross_return,one_way_turnover,transaction_cost_fraction,simple_net_return,workflow_net_return,net_return_difference,simple_start_capital,simple_monthly_pnl,workflow_monthly_pnl,simple_equity,workflow_equity,simple_cumulative_pnl,workflow_cumulative_pnl,cumulative_pnl_difference,spy_equity,spy_cumulative_pnl
2015-02-28,0.0525509542259982,0.003813691026460883,3.813691026460883e-06,0.05254714053497174,0.0525471405349718,6.245004513516506e-17,100.0,5.254714053497174,5.25471405349718,105.25471405349718,105.25471405349718,5.254714053497182,5.254714053497182,0.0,105.62049936180998,5.620499361809976
2015-03-31,-0.010776251773682521,0.0012440114254078927,1.2440114254078926e-06,-0.01077749578510793,-0.0107774957851078,1.3010426069826053e-16,105.25471405349718,-1.1343822370743062,-1.1343822370742926,104.12033181642289,104.12033181642289,4.12033181642289,4.12033181642289,0.0,103.96165914030651,3.9616591403065087
2015-04-30,-0.0019538580224382207,0.0030794168791627996,3.0794168791627998e-06,-0.0019569374393173834,-0.0019569374393174,-1.6479873021779667e-17,104.12033181642289,-0.2037569755257069,-0.20375697552570862,103.91657484089718,103.91657484089718,3.9165748408971837,3.9165748408971837,0.0,104.98401352753525,4.984013527535254
2015-05-31,0.017066186355607693,0.004072738276644491,4.072738276644492e-06,0.017062113617331048,0.0170621136173309,-1.491862189340054e-16,103.91657484089718,1.7730364066592728,1.7730364066592572,105.68961124755644,105.68961124755643,5.689611247556442,5.689611247556428,-1.4210854715202004e-14,106.33368284590978,6.333682845909777
2015-06-30,-0.015191762131555792,0.0029811110298916116,2.9811110298916117e-06,-0.015194743242585683,-0.0151947432425857,-1.734723475976807e-17,105.68961124755644,-1.605926506315316,-1.6059265063153176,104.08368474124114,104.0836847412411,4.083684741241143,4.0836847412411,-4.263256414560601e-14,104.17383960882995,4.173839608829951
2015-07-31,0.027526438492476102,0.005919593165880782,5.919593165880782e-06,0.02752051889931022,0.0275205188993101,-1.214306433183765e-16,104.08368474124114,2.8644370130311736,2.86443701303116,106.94812175427231,106.94812175427226,6.948121754272307,6.948121754272265,-4.263256414560601e-14,106.52702464522127,6.527024645221275
2015-08-31,-0.05431504384655883,0.002429493911208766,2.429493911208766e-06,-0.05431747334047004,-0.05431747334047,4.163336342344337e-17,106.94812175427231,-5.80915175220103,-5.809151752201023,101.13897000207129,101.13897000207123,1.1389700020712894,1.1389700020712326,-5.684341886080802e-14,100.03417634680045,0.03417634680045012
2015-09-30,-0.016685389621713398,0.003606703559712987,3.606703559712987e-06,-0.01668899632527311,-0.0166889963252731,1.0408340855860843e-17,101.13897000207129,-1.6879078987064753,-1.6879078987064733,99.4510621033648,99.45106210336476,-0.548937896635195,-0.5489378966352376,-4.263256414560601e-14,97.48173116811512,-2.518268831884882
2015-10-31,0.07314655196295544,0.003117139279661965,3.117139279661965e-06,0.07314343482367577,0.0731434348236758,2.7755575615628914e-17,99.4510621033648,7.274192279102795,7.274192279102795,106.72525438246761,106.72525438246754,6.725254382467611,6.72525438246754,-7.105427357601002e-14,105.77349640050824,5.773496400508236
2015-11-30,0.00019010109116401885,0.0023404345005338945,2.3404345005338945e-06,0.00018776065666348496,0.0001877606566634,-8.494724021423927e-17,106.72525438246761,0.020038803845429595,0.020038803845420516,106.74529318631305,106.74529318631296,6.745293186313049,6.7452931863129635,-8.526512829121202e-14,106.160115165953,6.160115165953002
2015-12-31,-0.008043128490666879,0.0049867449150793886,4.986744915079389e-06,-0.008048115235581958,-0.0080481152355818,1.5785983631388945e-16,106.74529318631305,-0.8590984204194291,-0.8590984204194115,105.88619476589362,105.88619476589356,5.88619476589362,5.886194765893563,-5.684341886080802e-14,104.32541031760753,4.325410317607535
2016-01-31,-0.04621230577358426,0.010628295750432198,1.0628295750432198e-05,-0.04622293406933469,-0.0462229340693345,1.942890293094024e-16,105.88619476589362,-4.894370599516633,-4.89437059951661,100.991824166377,100.99182416637696,0.9918241663770004,0.9918241663769578,-4.263256414560601e-14,99.13140212584285,-0.8685978741571461
2016-02-29,0.005447057589378218,0.004528684144460504,4.528684144460504e-06,0.005442528905233757,0.0054425289052336,-1.5699247457590104e-16,100.991824166377,0.5496509222177919,0.5496509222177758,101.5414750885948,101.54147508859472,1.5414750885947939,1.5414750885947228,-7.105427357601002e-14,99.0495085598782,-0.9504914401217945
