period,strategy,transaction_cost,annualized_return,annualized_volatility,sharpe_zero_rf,max_drawdown,total_return,final_value_from_100,average_monthly_turnover,annualized_turnover
full_sample,Benchmark SPY,0.0,0.13841399020345246,0.14960435659200141,0.9456791765776599,-0.23927178828328333,3.117283589861241,411.72835898612414,,
full_sample,Multifactor,0.0,0.12023694541067997,0.14167849728353185,0.875870683618141,-0.23844640270814244,2.453819601735555,345.3819601735555,0.0062791150559097664,0.07534938067091719
full_sample,Multifactor,0.001,0.12015303341293837,0.14167969173189002,0.8753314703968454,-0.23850772759557615,2.450996395694147,345.0996395694147,0.0062791150559097664,0.07534938067091719
full_sample,Multifactor,0.003,0.11998522617440188,0.1416820838514805,0.8742530513423901,-0.2386303644943939,2.4453568344330496,344.53568344330495,0.0062791150559097664,0.07534938067091719
out_of_sample_2021_2025,Benchmark SPY,0.0,0.14335098320493112,0.1513688914924532,0.9646564370569354,-0.2392717882832831,0.9538798216747859,195.38798216747858,,
out_of_sample_2021_2025,Multifactor,0.0,0.11258940894863478,0.1436513254089155,0.8168120995763405,-0.23844640270814277,0.7048045949773345,170.48045949773345,0.007629084593064277,0.09154901511677133
out_of_sample_2021_2025,Multifactor,0.001,0.11248838721610643,0.14365108972040275,0.8161761384982475,-0.23850772759557637,0.7040307648468365,170.40307648468365,0.007629084593064277,0.09154901511677133
out_of_sample_2021_2025,Multifactor,0.003,0.11228636852663887,0.1436506212048522,0.8149041938488742,-0.23863036449439412,0.7024841371961226,170.24841371961224,0.007629084593064277,0.09154901511677133
