date,equal_weight,inverse_volatility,deepseek_allocation
2021-04-30,100.0,100.0,100.0
2021-05-03,100.30462092128057,100.29580384064539,100.30486849552805
2021-05-04,99.55809861852426,99.61418404348542,99.56245670419688
2021-05-05,99.5790611250969,99.62084986984107,99.58561636956486
2021-05-06,100.25887437307262,100.3190992220791,100.26729469263557
2021-05-07,101.0529313339112,101.0688829971799,101.06083298578491
2021-05-10,100.05674526069414,100.22338413068827,100.06967667002888
2021-05-11,99.31401112842256,99.43990199507655,99.323638828797
2021-05-12,96.96587046244403,97.18789895897362,96.97737150926305
2021-05-13,98.1096276614443,98.36332921820667,98.12412906233587
2021-05-14,99.58695717825354,99.75378306539565,99.59914653174218
2021-05-17,99.27594996957708,99.42577402215352,99.28943758498619
2021-05-18,98.51900854330502,98.7012231271655,98.53133524338195
2021-05-19,98.31420634823073,98.47362952684144,98.32573210783728
2021-05-20,99.61944384593954,99.74916563513825,99.6281452492513
2021-05-21,99.5562268524144,99.67205324439618,99.566234193032
2021-05-24,100.45215663290377,100.49911677615657,100.45953164002215
2021-05-25,100.13570867670174,100.17878083917176,100.1411596067677
2021-05-26,100.48215821764444,100.46408932988905,100.4865085449363
2021-05-27,100.85783776006102,100.76806225389566,100.86200541240538
2021-05-28,100.91522552627407,100.86552514833852,100.91940389306268
2021-06-01,100.99258208574054,100.84164925542521,100.99540963058283
2021-06-02,101.20713840298265,101.09329881715584,101.21195274656856
2021-06-03,100.97241699950072,100.88926163567587,100.97987929305185
2021-06-04,101.82267156921262,101.73362018660072,101.82833592438652
2021-06-07,101.76822845843238,101.67974785681713,101.77249070756343
2021-06-08,101.66798858169625,101.57594255137573,101.67203154355434
2021-06-09,101.3162442146903,101.30678959215388,101.31946902028002
2021-06-10,101.62977077588951,101.70355676603992,101.63092054511219
2021-06-11,101.85547991099584,101.88172021397364,101.85695347322795
2021-06-14,101.65596437164163,101.74705527904298,101.65407778224892
2021-06-15,101.419492324707,101.50125047177565,101.42124675964786
2021-06-16,100.70480355511098,100.75882023903918,100.7037771246902
2021-06-17,100.21145799221893,100.39060122075762,100.20495446574942
2021-06-18,98.7747270885166,98.98739853614734,98.7649183033679
2021-06-21,100.26668434407566,100.44946336537642,100.25812589357592
2021-06-22,100.67557947623419,100.84910774925638,100.6638844530035
2021-06-23,100.62191118122637,100.71062988727923,100.60812059006793
2021-06-24,101.47113277134827,101.51784959949282,101.45632780330556
2021-06-25,102.05070149362444,102.13395270377015,102.03604199894764
2021-06-28,102.21006978361272,102.31053004898767,102.19324595431374
2021-06-29,102.18612416481497,102.28876667631936,102.16691789326505
2021-06-30,102.26971545495688,102.34142824545857,102.25172058271868
2021-07-01,102.71312583170692,102.81979280435093,102.69597464987982
2021-07-02,103.12199888345177,103.28869304993826,103.11043348331674
2021-07-06,102.4319016137183,102.70804438076155,102.42751310041027
2021-07-07,102.61612489008657,102.9818164987122,102.61715937379266
2021-07-08,101.65823500933732,102.06830394718828,101.66179231949926
2021-07-09,103.01314189829058,103.30404398066645,103.00906055282513
2021-07-12,103.4921611250646,103.69774757057903,103.48385412245358
2021-07-13,102.87413700250329,103.16069489942426,102.87181222538554
2021-07-14,102.79918220389811,103.17386192367194,102.80116337610598
2021-07-15,102.55188489500664,102.95671469727851,102.55407402621447
2021-07-16,101.83812341327463,102.35758566627297,101.84556439111836
2021-07-19,100.51090468310952,101.07009507029375,100.52021035730303
2021-07-20,102.10512397712851,102.54131030106662,102.10785856966766
2021-07-21,103.05107154563721,103.34705747170813,103.04735920914855
2021-07-22,102.94785465186155,103.3156833309539,102.94912058481468
2021-07-23,103.8743396565971,104.28011406062265,103.88068597113173
2021-07-26,104.09468595321295,104.44038720183741,104.09761566885692
2021-07-27,103.657938748703,104.0986216166095,103.66442207548506
2021-07-28,103.80737989680621,104.17309829820064,103.81038628685496
2021-07-29,104.46222436354915,104.77895049022968,104.46208827035763
2021-07-30,104.09755097644305,104.46699266973694,104.09995504059279
2021-08-02,103.9595439918536,104.32026005247194,103.95185509152554
2021-08-03,104.92283450479707,105.23310856915194,104.9234407673931
2021-08-04,104.32600429726187,104.65043444598388,104.2684936485993
2021-08-05,105.0295875424257,105.28878301358709,104.94941784586162
2021-08-06,105.36048537235351,105.55428464025805,105.29368002777366
2021-08-09,105.53277270909975,105.67074065944912,105.39794244147345
2021-08-10,105.78267052635711,105.87082946012566,105.67169927413549
2021-08-11,106.01520197615244,106.10762738758638,105.94341700234492
2021-08-12,106.02278375266901,106.13359941953804,105.9114576125641
2021-08-13,106.08956455532069,106.28399058149647,105.99958349668124
2021-08-16,106.15155631523756,106.46822310319385,106.10610259951807
2021-08-17,105.40736843409275,105.83550575456977,105.3335698134866
2021-08-18,104.31928818281854,104.70791423468819,104.22861142270122
2021-08-19,104.07815075624552,104.60860610592977,103.99564956430147
2021-08-20,104.86396116712406,105.40761449723378,104.78519517241283
