date,VLUE,MTUM,QUAL,USMV,SPY
2015-01-02,49.133399963378906,59.46950912475586,52.5156135559082,32.813438415527344,169.68785095214844
2015-01-05,49.133399963378906,58.6993522644043,51.722469329833984,32.50563430786133,166.6233673095703
2015-01-06,48.11149597167969,58.20048522949219,51.275272369384766,32.416534423828125,165.0539093017578
2015-01-07,48.49470901489258,59.1632080078125,51.857460021972656,32.82963943481445,167.1106719970703
2015-01-08,49.479034423828125,60.37098693847656,52.82779312133789,33.315643310546875,170.0760955810547
2015-01-09,49.0131721496582,60.055908203125,52.37216567993164,33.12123489379883,168.713134765625
2015-01-12,48.50223159790039,59.7058219909668,51.94184112548828,32.975440979003906,167.3914794921875
2015-01-13,48.36698532104492,59.50452423095703,51.798397064208984,32.94303894042969,166.92074584960938
2015-01-14,47.9837646484375,59.303245544433594,51.59591293334961,32.82963943481445,165.9129638671875
2015-01-15,47.555477142333984,58.90938186645508,51.11496353149414,32.78104019165039,164.3931121826172
2015-01-16,48.194156646728516,59.627037048339844,51.80683517456055,33.1374397277832,166.5489959716797
2015-01-20,48.0363655090332,59.95086669921875,52.04310989379883,33.19413757324219,166.90419006347656
2015-01-21,48.39703369140625,60.18717575073242,52.14435577392578,33.25082778930664,167.7467498779297
2015-01-22,48.75019073486328,61.21989440917969,52.97966766357422,33.73685073852539,170.24124145507812
2015-01-23,48.907989501953125,61.09739685058594,52.861549377441406,33.55863571166992,169.3078155517578
2015-01-26,48.83283615112305,61.158660888671875,52.95435333251953,33.631534576416016,169.70436096191406
2015-01-27,48.62998962402344,60.379737854003906,52.06841278076172,33.38853454589844,167.4658660888672
2015-01-28,47.63813781738281,59.68831253051758,51.57902908325195,33.0078239440918,165.3182373046875
2015-01-29,48.0363655090332,60.2572021484375,52.07685089111328,33.17793655395508,166.8463897705078
2015-01-30,47.555477142333984,59.15445327758789,51.61278533935547,32.62712860107422,164.7482452392578
2015-02-02,47.420223236083984,59.59205627441406,52.07685089111328,32.91062927246094,166.78855895996094
2015-02-03,49.058265686035156,60.16093063354492,52.861549377441406,33.27513885498047,169.20046997070312
2015-02-04,49.193511962890625,60.06464385986328,52.481849670410156,33.19413757324219,168.55618286132812
2015-02-05,49.43394470214844,60.72102355957031,53.12311935424805,33.51814651489258,170.2578125
2015-02-06,49.62179946899414,60.134666442871094,52.768733978271484,33.22653579711914,169.78700256347656
2015-02-09,49.110843658447266,59.75834655761719,52.599971771240234,33.04833984375,169.02703857421875
2015-02-10,49.5692024230957,60.58975601196289,53.156864166259766,33.39664077758789,170.82772827148438
2015-02-11,49.64433670043945,60.90483856201172,53.18218231201172,33.412845611572266,170.92686462402344
2015-02-12,50.13274002075195,61.29867172241211,53.62092208862305,33.5748405456543,172.5706024169922
2015-02-13,50.35064697265625,61.37745666503906,53.94999694824219,33.59914016723633,173.281005859375
2015-02-17,50.47838592529297,61.640037536621094,53.983741760253906,33.61534118652344,173.55357360839844
2015-02-18,50.37317657470703,61.823795318603516,54.09343719482422,33.72875213623047,173.570068359375
2015-02-19,50.37317657470703,61.85881042480469,54.194698333740234,33.58293533325195,173.44618225097656
2015-02-20,50.39573287963867,62.366432189941406,54.59125518798828,33.80165100097656,174.4869842529297
2015-02-23,50.45584487915039,62.58522033691406,54.633445739746094,33.842140197753906,174.4622039794922
2015-02-24,50.65871810913086,62.655208587646484,54.75156784057617,33.858341217041016,174.9578094482422
2015-02-25,50.598594665527344,62.50644302368164,54.835941314697266,33.86644744873047,174.8091583251953
2015-02-26,50.37317657470703,62.60272216796875,54.802188873291016,33.83405303955078,174.6026153564453
2015-02-27,50.37317657470703,62.366432189941406,54.71782684326172,33.817840576171875,174.00791931152344
2015-03-02,50.6436882019043,62.751495361328125,55.13970184326172,33.93124008178711,175.10647583007812
2015-03-03,50.29806137084961,62.33140563964844,54.8275146484375,33.80165100097656,174.38784790039062
2015-03-04,50.12522888183594,62.25265884399414,54.59970474243164,33.647735595703125,173.65269470214844
2015-03-05,50.20036315917969,62.39267349243164,54.7684440612793,33.76925277709961,173.84262084960938
2015-03-06,49.41140365600586,61.39494705200195,53.94157028198242,33.16984939575195,171.39767456054688
2015-03-09,49.72700500488281,61.77128982543945,54.245296478271484,33.32373809814453,172.10804748535156
2015-03-10,48.88544464111328,60.81731033325195,53.34248733520508,32.89443588256836,169.31610107421875
2015-03-11,48.90047073364258,60.68603515625,53.072486877441406,32.82154083251953,168.91961669921875
2015-03-12,49.306217193603516,61.368709564208984,53.629371643066406,33.25082778930664,171.0672607421875
2015-03-13,49.1634635925293,61.106117248535156,53.26655197143555,33.088836669921875,170.0182342529297
2015-03-16,49.734500885009766,62.04257583618164,54.051239013671875,33.54243850708008,172.28981018066406
2015-03-17,49.64433670043945,62.086387634277344,53.814979553222656,33.39664077758789,171.7776641845703
2015-03-18,50.19286346435547,62.751495361328125,54.473121643066406,33.80165100097656,173.84262084960938
2015-03-19,49.88478088378906,62.83904266357422,54.46467590332031,33.696353912353516,173.0497283935547
2015-03-20,50.51594924926758,63.31160354614258,54.98780822753906,33.96365737915039,174.57716369628906
2015-03-23,50.418277740478516,62.98782730102539,54.97938919067383,34.02034378051758,174.2370147705078
2015-03-24,50.0576057434082,62.67274475097656,54.59970474243164,33.817840576171875,173.2579803466797
2015-03-25,49.49971389770508,61.3762321472168,53.816490173339844,33.39400863647461,170.71905517578125
2015-03-26,49.29590606689453,61.39378356933594,53.7318115234375,33.28825759887695,170.31259155273438
2015-03-27,49.243045806884766,61.8502311706543,53.75722122192383,33.4346923828125,170.70248413085938
2015-03-30,49.89982604980469,62.420799255371094,54.37532424926758,33.800758361816406,172.7850799560547
2015-03-31,49.89982604980469,61.709815979003906,53.858829498291016,33.56484603881836,171.27500915527344
2015-04-01,49.49971389770508,61.20064163208008,53.53709030151367,33.48348617553711,170.66932678222656
2015-04-02,49.54502487182617,61.34989547729492,53.638671875,33.548587799072266,171.28329467773438
2015-04-06,50.02062225341797,61.65711212158203,53.935035705566406,33.73568344116211,172.4365997314453
2015-04-07,49.80169677734375,61.63955307006836,54.036643981933594,33.60553741455078,171.98016357421875
2015-04-08,49.83944320678711,61.8502311706543,54.10437774658203,33.70314407348633,172.56103515625
2015-04-09,50.035709381103516,62.060916900634766,54.37532424926758,33.76009750366211,173.3243408203125
2015-04-10,50.337677001953125,62.41202926635742,54.51078796386719,33.84956359863281,174.27017211914062
2015-04-13,50.29994201660156,62.087242126464844,54.33296585083008,33.70314407348633,173.48199462890625
2015-04-14,50.277286529541016,62.017005920410156,54.197505950927734,33.7763557434082,173.8138427734375
2015-04-15,50.805728912353516,62.218902587890625,54.53619384765625,33.80889892578125,174.59373474121094
2015-04-16,50.56415557861328,62.2540168762207,54.40072250366211,33.7763557434082,174.5439910888672
2015-04-17,50.035709381103516,61.499114990234375,53.71488571166992,33.44281768798828,172.53610229492188
2015-04-20,50.5415153503418,62.1662483215332,54.30758285522461,33.72754669189453,174.11257934570312
2015-04-21,50.48866271972656,62.3505859375,54.35837936401367,33.71127700805664,173.90518188476562
2015-04-22,50.17914581298828,62.56125259399414,54.68011474609375,33.82516860961914,174.75973510742188
2015-04-23,50.73023223876953,62.64904022216797,54.942596435546875,33.955326080322266,175.19944763183594
2015-04-24,50.647186279296875,62.754371643066406,55.14580154418945,34.00413131713867,175.60601806640625
2015-04-27,50.654754638671875,62.2628059387207,54.934139251708984,33.768226623535156,174.87591552734375
2015-04-28,50.75288772583008,62.324249267578125,54.993412017822266,33.90650939941406,175.43182373046875
2015-04-29,50.594337463378906,61.92045974731445,54.68011474609375,33.64619445800781,174.7099609375
2015-04-30,50.23198699951172,61.06899642944336,53.951969146728516,33.36960220336914,172.95932006835938
2015-05-01,50.58679962158203,61.999446868896484,54.72246551513672,33.621788024902344,174.8344268798828
2015-05-04,50.9189453125,62.148685455322266,54.84099578857422,33.71940994262695,175.33224487304688
2015-05-05,50.33012008666992,61.226993560791016,54.273712158203125,33.353336334228516,173.3243408203125
2015-05-06,50.11119842529297,60.9812126159668,53.96889877319336,33.27199172973633,172.61083984375
2015-05-07,50.239540100097656,61.499114990234375,54.25678253173828,33.45096206665039,173.2994384765625
2015-05-08,50.835906982421875,62.289127349853516,55.06962585449219,33.83330535888672,175.58111572265625
2015-05-11,50.594337463378906,62.087242126464844,54.9002685546875,33.654327392578125,174.74314880371094
2015-05-12,50.533958435058594,61.86780548095703,54.730918884277344,33.58924865722656,174.2204132080078
2015-05-13,50.42072296142578,61.93800354003906,54.713993072509766,33.55672073364258,174.2536163330078
2015-05-14,50.86610794067383,62.807029724121094,55.37441635131836,33.955326080322266,176.07064819335938
2015-05-15,50.964263916015625,62.93870162963867,55.41676330566406,34.069210052490234,176.26150512695312
2015-05-18,51.10768508911133,63.27227783203125,55.56917953491211,34.118019104003906,176.80909729003906
2015-05-19,51.14544677734375,63.25471878051758,55.61997604370117,34.14242172241211,176.75099182128906
2015-05-20,51.21337890625,63.23717498779297,55.560699462890625,34.126163482666016,176.62655639648438
2015-05-21,51.19828796386719,63.324947357177734,55.65384292602539,34.10174560546875,177.14096069335938
2015-05-22,51.251121520996094,63.22837829589844,55.48450469970703,34.01227951049805,176.71778869628906
2015-05-26,50.5415153503418,62.58758544921875,54.80714797973633,33.71940994262695,174.81784057617188
2015-05-27,50.90386199951172,63.4127311706543,55.25587844848633,33.93906021118164,176.47726440429688
2015-05-28,50.994449615478516,63.324947357177734,55.22203063964844,33.91465759277344,176.2781219482422
2015-05-29,50.69249725341797,63.12306213378906,54.77326965332031,33.71127700805664,175.18287658691406
2015-06-01,50.69249725341797,63.17573165893555,54.91721725463867,33.800758361816406,175.5397186279297
2015-06-02,50.76043701171875,62.90359878540039,54.86641311645508,33.68687057495117,175.36541748046875
2015-06-03,50.88121795654297,63.00016403198242,54.967994689941406,33.67875671386719,175.830078125
2015-06-04,50.50375747680664,62.50858688354492,54.468448638916016,33.45096206665039,174.3448944091797
2015-06-05,50.48866271972656,62.324249267578125,54.35837936401367,33.25572204589844,174.04623413085938
2015-06-08,50.29994201660156,61.9555778503418,54.0112419128418,33.109291076660156,172.97586059570312
2015-06-09,50.32258605957031,62.00823974609375,54.00275802612305,33.05234909057617,172.9510040283203
2015-06-10,50.82837677001953,62.76313400268555,54.73939514160156,33.33705139160156,175.02525329589844
2015-06-11,50.91141891479492,62.93870162963867,54.95954132080078,33.50788879394531,175.58944702148438
2015-06-12,50.52640151977539,62.59636306762695,54.519256591796875,33.30451965332031,174.2453155517578
2015-06-15,50.29240036010742,62.552490234375,54.23138427734375,33.12555694580078,173.4986572265625
2015-06-16,50.55659484863281,62.965065002441406,54.58699417114258,33.34519577026367,174.4444580078125
2015-06-17,50.55659484863281,63.061614990234375,54.798667907714844,33.467220306396484,174.7265167236328
2015-06-18,51.11522674560547,63.95695114135742,55.36595916748047,33.82516860961914,176.54359436035156
2015-06-19,50.91141891479492,63.90431213378906,55.188148498535156,33.68687057495117,175.75985717773438
2015-06-22,51.137874603271484,64.19397735595703,55.382904052734375,33.78448486328125,176.66030883789062
2015-06-23,51.137874603271484,64.31687927246094,55.289756774902344,33.751953125,176.7853240966797
2015-06-24,50.825252532958984,63.75068283081055,54.98691177368164,33.506710052490234,175.50140380859375
2015-06-25,50.8404426574707,64.10291290283203,54.782752990722656,33.43315505981445,174.96786499023438
2015-06-26,50.50656509399414,63.909141540527344,54.73171615600586,33.498531341552734,174.9344940185547
2015-06-29,49.74015426635742,62.72047424316406,53.515281677246094,32.926334381103516,171.26602172851562
2015-06-30,49.85398864746094,62.9053840637207,53.761966705322266,32.959041595458984,171.62457275390625
2015-07-01,49.89192199707031,63.49532699584961,54.034175872802734,33.351402282714844,173.0001678466797
2015-07-02,49.99815368652344,63.35445785522461,54.11923599243164,33.37591552734375,172.84181213378906
2015-07-06,49.60356903076172,63.222381591796875,53.889549255371094,33.400455474853516,172.34991455078125
2015-07-07,49.960205078125,63.61860656738281,54.26385498046875,33.71926498413086,173.4337615966797
2015-07-08,49.0648078918457,62.685237884521484,53.4387092590332,33.35957336425781,170.52398681640625
2015-07-09,49.36074447631836,62.94059371948242,53.600337982177734,33.35957336425781,170.83250427246094
2015-07-10,49.838802337646484,63.91798782348633,54.16176986694336,33.711090087890625,172.9835205078125
2015-07-13,50.32444763183594,64.59599304199219,54.88484191894531,33.94812774658203,174.892822265625
2015-07-14,50.59001922607422,64.96583557128906,55.12303161621094,34.021705627441406,175.65145874023438
2015-07-15,50.445858001708984,64.8425521850586,55.08899688720703,33.99718475341797,175.59310913085938
2015-07-16,50.79490661621094,65.21238708496094,55.48031997680664,34.2178955078125,177.0021514892578
2015-07-17,50.79490661621094,65.21238708496094,55.863094329833984,34.14432907104492,177.1522216796875
2015-07-20,50.73421096801758,65.42369842529297,55.982200622558594,34.16066360473633,177.24388122558594
2015-07-21,50.40790557861328,65.05387878417969,55.820560455322266,34.005367279052734,176.5435791015625
2015-07-22,50.40790557861328,65.08028411865234,55.59087371826172,34.054412841796875,176.22671508789062
2015-07-23,50.203033447265625,64.75450897216797,55.29315185546875,33.841888427734375,175.23460388183594
2015-07-24,49.89950942993164,64.60478973388672,54.46800994873047,33.71926498413086,173.4170379638672
2015-07-27,49.193817138671875,64.10291290283203,54.11923599243164,33.629329681396484,172.40826416015625
2015-07-28,49.80086135864258,64.92176818847656,54.84230422973633,33.980831146240234,174.52593994140625
2015-07-29,50.263729095458984,65.3444595336914,55.301658630371094,34.20972442626953,175.72657775878906
2015-07-30,50.19544982910156,65.2828369140625,55.48031997680664,34.226070404052734,175.7682342529297
2015-07-31,50.013336181640625,65.2916259765625,55.3101692199707,34.28327941894531,175.50140380859375
2015-08-03,49.9070930480957,65.2211685180664,55.08899688720703,34.31597900390625,174.90943908691406
2015-08-04,49.69462966918945,64.9746322631836,55.106021881103516,34.291465759277344,174.56761169433594
2015-08-05,49.8084602355957,65.23877716064453,55.55685043334961,34.495819091796875,175.14292907714844
2015-08-06,49.60356903076172,64.06766510009766,54.88484191894531,34.291465759277344,173.7089080810547
2015-08-07,49.60356903076172,64.02364349365234,54.76573944091797,34.28327941894531,173.37538146972656
2015-08-10,50.096805572509766,64.50794982910156,55.39524459838867,34.50400161743164,175.55978393554688
2015-08-11,49.55804443359375,64.12052917480469,54.96139907836914,34.43042755126953,173.9757080078125
2015-08-12,49.58079147338867,63.91798782348633,55.03795623779297,34.52851486206055,174.18414306640625
2015-08-13,49.80086135864258,64.14692687988281,55.04646301269531,34.536685943603516,173.96737670898438
2015-08-14,49.78569412231445,64.30542755126953,55.174076080322266,34.700164794921875,174.60098266601562
2015-08-17,49.96779251098633,64.95701599121094,55.463287353515625,34.84730911254883,175.576416015625
2015-08-18,49.9070930480957,64.86895751953125,55.39524459838867,34.83912658691406,175.06784057617188
2015-08-19,49.504920959472656,64.6136245727539,55.18258285522461,34.71651840209961,173.6838836669922
2015-08-20,48.51846694946289,63.02864456176758,54.034175872802734,34.2178955078125,170.05714416503906
2015-08-21,47.16019821166992,60.932979583740234,52.12868881225586,33.33506774902344,164.93800354003906
2015-08-24,45.308692932128906,58.52030563354492,50.13813400268555,32.084388732910156,157.9929656982422
2015-08-25,45.52116394042969,58.361812591552734,49.55117416381836,31.536706924438477,156.1337127685547
2015-08-26,45.946102142333984,60.6776237487793,51.83095932006836,32.49310302734375,162.12835693359375
2015-08-27,47.008426666259766,62.16571044921875,52.87727355957031,33.089820861816406,166.13853454589844
2015-08-28,47.15260696411133,62.05124282836914,52.89426803588867,33.057125091552734,166.14691162109375
2015-08-31,47.12225341796875,61.37321472167969,52.315826416015625,32.73015594482422,164.80455017089844
2015-09-01,45.57427215576172,59.70903015136719,50.88671112060547,31.95358657836914,159.88555908203125
2015-09-02,45.968849182128906,61.05624008178711,51.771400451660156,32.41135787963867,162.92037963867188
2015-09-03,46.59867477416992,61.04744338989258,51.881988525390625,32.484928131103516,163.03704833984375
2015-09-04,45.9764518737793,60.43988800048828,51.14191818237305,32.04351043701172,160.56927490234375
2015-09-08,46.94013214111328,61.91035461425781,52.392391204833984,32.71380615234375,164.60446166992188
2015-09-09,46.636619567871094,61.07383728027344,51.54173278808594,32.26420974731445,162.40345764160156
2015-09-10,46.629024505615234,61.408470153808594,51.87348937988281,32.33778762817383,163.28717041015625
2015-09-11,46.75802993774414,62.13929748535156,52.196739196777344,32.542152404785156,164.02923583984375
2015-09-14,46.606266021728516,61.78709411621094,51.984073638916016,32.45222473144531,163.4206085205078
2015-09-15,47.380245208740234,62.579566955566406,52.65609359741211,32.77102279663086,165.46328735351562
2015-09-16,47.797603607177734,63.011024475097656,53.01339340209961,33.0407829284668,166.89724731445312
2015-09-17,47.72929763793945,63.1783447265625,52.95383071899414,33.12252426147461,166.52207946777344
2015-09-18,46.59867477416992,62.2625846862793,52.154197692871094,32.803733825683594,163.80084228515625
